Letter,Book 1 Frequency
A,2106
a,74367
b,15295
B,1306
C,943
c,21199
d,37113
D,551
E,518
e,114462
f,19801
F,675
g,20019
G,472
H,1050
h,60727
i,61295
I,3090
j,822
J,239
k,7831
K,106
L,570
l,41475
m,22315
M,585
n,63817
N,741
o,67611
O,520
P,930
p,16030
q,1227
Q,317
R,466
r,50691
s,61372
S,1734
T,1930
t,84618
u,26157
U,94
v,8317
V,101
w,20629
W,1145
x,995
X,11
y,16377
Y,225
z,605
Z,19
